,ath,atl,market_rank,max_supply,name,roi,total_supply
355,0.542256,0.035474,276,10000000000 PLF,playfuel,1084.53%,10000000000 PLF
356,1.41,0.312738,542,87984177 PNT,pnetwork,-50.03%,65672345 PNT
357,6.84,2.69,9,No Data,polkadot-new,"<span class=""cmc--change-positive"">44.18%</span>",987964778 DOT
358,1.66,0.010747,315,No Data,polymath-network,-95.11%,1000000000 POLY
359,76.49,0.143015,453,53252246 PPT,populous,-92.49%,53252246 PPT
360,0.119478,0.001164,216,No Data,poseidon-network,4382.09%,21000000000 QQQ
361,2.01,0.03183,168,No Data,power-ledger,32.66%,999506123 POWR
362,26.49,0.002058,539,No Data,precium,-99.95%,750000000 PCM
363,2.89,0.002642,327,No Data,prizm,-99.26%,6000000000 PZM
364,1.54,0.005972,462,No Data,project-pai,-99.44%,1708992278 PAI
365,3.71,0.100493,469,No Data,prometeus,365.83%,19250000 PROM
366,0.09383,0.028018,502,1000000000 PROPS,props,-0.97%,662588454 PROPS
367,0.1009,0.005881,448,10000000000 XPR,proton,-89.83%,10000000000 XPR
368,0.007203,0.00038,495,No Data,proximax,-69.90%,9000000000 XPX
369,0.015621,0.000079,158,No Data,pundi-x,-85.33%,258526640301 NPXS
370,2.49,0.00844,426,No Data,qash,-92.52%,1000000000 QASH
371,0.217041,0.123382,239,10000000000 QC,qcash,4.06%,10000000000 QC
372,99.87,0.770018,65,107822406 QTUM,qtum,-71.29%,102881688 QTUM
373,17.2,0.163629,67,No Data,quant,745.28%,14612493 QNT
374,0.866421,0.004076,367,No Data,quantstamp,-66.71%,976442388 QSP
375,4.17,0.040836,555,105000000 QRL,quantum-resistant-ledger,-86.55%,72495499 QRL
376,0.307567,0.00008,475,No Data,quark,> 9000%,267054866 QRK
377,0.341594,0.001365,149,10000000000 QKC,quarkchain,-98.21%,10593273337 QKC
378,0.211398,0.003249,505,No Data,quickx-protocol,-83.30%,500000000 QCX
379,0.150045,0.041719,487,285714286 RKN,rakon,678.17%,285714286 RKN
380,0.080258,0.008794,93,21000000000 RVN,ravencoin,-57.81%,7398235000 RVN
381,3.14,0.008209,399,No Data,rchain,"<span class=""cmc--change-negative"">-84.35%</span>",870663574 REV
382,0.032391,0.000006,277,No Data,redd,3103.69%,28808713174 RDD
383,0.593227,0.015394,58,No Data,ren,223.64%,999999633 REN
384,15389.21,9011.76,210,No Data,renbtc,48.00%,20519 RENBTC
385,0.768848,0.019302,446,No Data,repo,-6.00%,356999900 REPO
386,1.18,0.004651,345,999983984 REQ,request,-69.61%,999966002 REQ
387,0.03137,0.001247,87,No Data,reserve-rights,185.09%,100000000000 RSR
388,4.49,0.010173,76,No Data,revain,-79.04%,12484410729 REV
389,0.516849,0.010016,333,No Data,ripio-credit-network,-39.93%,999942647 RCN
390,5.4,0.148783,123,No Data,rlc,147.07%,86999785 RLC
391,4.92,0.091175,278,No Data,rocket-pool,168.05%,17922515 RPL
392,0.223294,0.027361,116,No Data,rsk-infrastructure-framework,-54.86%,1000000000 RIF
393,4.26,0.002149,267,No Data,s4fe,-45.40%,1000000000 S4F
394,99.76,0.016917,373,No Data,salus,> 9000%,1012265 SLS
395,0.045302,0.00178,506,No Data,sapphire,431.30%,416295321 SAPP
396,0.606587,0.255416,290,No Data,secret,-31.01%,111771105 SCRT
397,0.469941,0.002548,483,No Data,seele,-95.50%,30000000000 SEELE
398,0.011551,0.000408,407,4200000000 SNTVT,sentivate,52.53%,4200000000 SNTVT
399,3.78,0.110006,140,10000000000 SRM,serum,666.02%,161000001 SRM
400,0.051886,0.000159,151,No Data,sharetoken,-3.86%,6434460140 SHR
401,0.111708,0.000011,80,No Data,siacoin,5138.73%,44993062992 SC
402,1.86,0.007497,162,1000000000 AGI,singularitynet,-61.34%,1000000000 AGI
403,4.94,0.505153,113,No Data,solana,516.13%,488607812 SOL
404,0.907103,0.130458,224,400000000 SOLO,sologenic,139.46%,399996921 SOLO
405,0.565909,0.033678,165,1000000000 SOLVE,solve,-40.02%,1000000000 SOLVE
406,139.38,0.639872,303,No Data,sora,2651.24%,350000 XOR
407,2.8,0.020533,493,No Data,spectre-dividend,-12.20%,140270691 SXDT
408,0.027349,0.005388,385,No Data,sport-and-leisure,50.82%,963252000 SNL
409,0.56936,0.015706,428,No Data,stakenet,-72.37%,111163927 XSN
410,0.094944,0.0058,427,No Data,standard-tokenization-protocol,37.26%,1942420283 STPT
411,1.38,0.980801,155,No Data,stasis-euro,-2.68%,31979207 EURS
412,0.675945,0.006196,108,No Data,status,-68.90%,6804870174 SNT
413,8.57,0.069192,126,No Data,steem,-79.36%,411507498 STEEM
414,0.938144,0.001227,18,No Data,stellar,2421.13%,50001803683 XLM
415,0.211679,0.001655,291,5000000000 SCC,stem-cell-coin,52.77%,5000000000 SCC
416,3.13,0.048353,122,No Data,storj,-45.89%,424999998 STORJ
417,0.246579,0.000572,403,10000000000 STMX,stormx,"<span class=""cmc--change-negative"">-88.70%</span>",9564320810 STMX
418,54.23,17.25,218,21000000 STP,stpay,67.53%,21000000 STP
419,22.66,0.008483,156,No Data,stratis,2524.88%,100020689 STRAT
420,0.374587,0.004854,193,No Data,streamr,-50.69%,987154514 DATA
421,316.12,14.99,235,10000000 STRONG,strong,-93.61%,10000000 STRONG
422,0.52403,0.087993,357,No Data,suku,-51.11%,1500000000 SUKU
423,35.7,7.08,159,19900730 SUN,sun,-77.33%,19900730 SUN
424,0.343686,0.029989,186,647367590 SERO,super-zero-protocol,-72.55%,639527748 SERO
425,2.36,0.387605,299,No Data,susd,0.55%,22510653 SUSD
426,11.93,0.50827,100,No Data,sushiswap,-84.98%,143953027 SUSHI
427,5.02,0.160996,118,No Data,swipe,282.60%,289612084 SXP
428,0.172034,0.00477,112,No Data,swissborg,-23.23%,1000000000 CHSB
429,0.092481,0.001691,304,No Data,switcheo,-64.92%,1149310973 SWTH
430,0.651826,0.005704,390,No Data,synchrobitcoin,-9.11%,1000000000 SNB
431,7.86,0.03242,49,No Data,synthetix-network-token,457.38%,207106900 SNX
432,0.981476,0.000199,197,888000000 SYS,syscoin,1752.99%,599433437 SYS
433,0.186768,0.034392,485,1500000000 IPX,tachyon-protocol,-16.42%,1000000000 IPX
434,0.274951,0.016624,264,No Data,tap,44.46%,10000000000 XTP
435,0.01178,0.000065,542,No Data,telcoin,-87.47%,100000000000 TEL
436,89.66,1.11,187,No Data,tellor,1307.72%,1612686 TRB
437,0.000882,0.000768,228,No Data,terra-krw,1.50%,104290858541 KRT
438,1.83,0.119867,79,No Data,terra-luna,-83.22%,998194036 LUNA
439,1.21,0,3,No Data,tether,0.08%,17370002435 USDT
440,4.48,0.314631,19,No Data,tezos,294.24%,748918840 XTZ
441,0.079961,0.000578,71,No Data,the-midas-touch-gold,-61.47%,9161139666 TMTG
442,0.086577,0.028953,341,3000000000 SAND,the-sandbox,260.53%,3000000000 SAND
443,5.38,0.360956,268,2000000000 TTT,the-transfer-token,-65.06%,2000000000 TTT
444,0.025061,0.000889,139,No Data,theta-fuel,-48.88%,5000000000 TFUEL
445,0.800326,0.039771,31,No Data,theta,271.80%,1000000000 THETA
446,1.18,0.007939,120,No Data,thorchain,1034.09%,500000000 RUNE
447,2734.1,0.145105,215,No Data,thorecoin,> 9000%,100000 THR
448,25.32,0.000453,302,210000000 THX,thorenext,-37.01%,210000000 THX
449,0.029818,0.002613,192,10000000000 TT,thunder-token,-85.29%,10000000000 TT
450,0.686332,0.25094,283,No Data,titanswap,83.61%,10000000000 TITAN
451,248.84,12.33,465,No Data,tixl,1026.40%,900000 MTXLT
452,0.320208,0.038309,213,1000000000000 TNC,tnc-coin,-60.42%,1000000000000 TNC
453,2.3,0.140721,150,No Data,tomochain,99.51%,100000000 TOMO
454,0.003158,0.000077,244,No Data,tratin,-87.14%,144287391827 TRAT
455,2.46,0.043948,178,No Data,travala,539.25%,61181769 AVA
456,0.300363,0.001091,15,No Data,tron,1073.96%,100850743812 TRX
457,0.010834,0.00133,309,No Data,troy,-77.02%,10000000000 TROY
458,3.71,0.156306,417,No Data,truechain,-78.56%,100000000 TRUE
459,1.36,0.917877,51,No Data,trueusd,0.14%,255048114 TUSD
460,0.185179,0.006478,358,No Data,trust-wallet-token,900.98%,1000000000 TWT
461,1.74,0.012528,459,No Data,trustswap,249.71%,99999163 SWAP
462,0.046037,0.000386,472,No Data,uca-coin,-50.40%,5230763289 UCA
463,0.037141,0.005689,279,No Data,ultiledger,105.25%,4500000000 ULT
464,0.73702,0.019822,194,No Data,ultra,67.40%,1000000000 UOS
465,27.63,1.16,37,No Data,uma,361.55%,101082043 UMA
466,9.03,0.151342,275,No Data,uni-coin,-80.84%,1000000000 UNI
467,0.593566,0.008132,130,No Data,unibright,138.37%,150000000 UBT
468,8.44,0.418998,35,No Data,uniswap,93.51%,1000000000 UNI
469,124.99,0.967222,381,No Data,unobtanium,1366.27%,202956 UNO
470,2,0.803558,20,No Data,unus-sed-leo,19.05%,999498893 LEO
471,8.96,0.037075,109,No Data,uquid-coin,504.94%,40000000 UQC
472,1.11,0.929222,10,No Data,usd-coin,-0.40%,2928949419 USDC
473,1.25,0.902469,449,No Data,usdj,-1.06%,11523481 USDJ
474,1.12,0.906511,281,No Data,usdk,-0.25%,28600072 USDK
475,1.42,0.005431,131,No Data,utrust,59.96%,500000000 UTK
476,0.297542,0.013573,176,No Data,v-systems,-55.27%,4042041860 VSYS
477,0.022917,0.001678,30,No Data,vechain,"<span class=""cmc--change-negative"">-38.83%</span>",86712634466 VET
478,0.090082,0.011618,94,No Data,velas,99.37%,2106296362 VLX
479,4.77,2.14,497,30000000 XVS,venus,-9.63%,30000000 XVS
480,0.300588,0.000002,115,16555000000 XVG,verge,> 9000%,16382823543 XVG
481,10,0.005343,450,84000000 VTC,vertcoin,172.41%,57243072 VTC
482,0.52392,0.069875,305,No Data,veruscoin,390.62%,58239648 VRSC
483,0.231257,0.001202,253,No Data,vestchain,-56.96%,8420042616 VEST
484,0.042012,0.000153,330,No Data,vethor-token,-98.24%,29233211768 VTHO
485,1.22,0.042714,368,58501137 VIDT,vidt-datalink,157.14%,57386799 VIDT
486,6.76,0.161344,223,100000000 VITAE,vitae,3992.58%,19731056 VITAE
487,0.352093,0.137513,499,No Data,vnx-exchange,19.58%,80000000 VNXLU
488,10,0.016992,164,222295208 VGX,voyager-token,111.14%,222295208 VGX
489,45.96,0.142135,570,100000000 WTC,waltonchain,-77.40%,70000000 WTC
490,9.92,0.075754,152,No Data,wanchain,-94.95%,191869911 WAN
491,18.07,0.122684,42,No Data,waves,133.80%,103442404 WAVES
492,5.01,0.015961,138,No Data,wax,-84.26%,3721164898 WAXP
493,2.85,0.092051,172,No Data,waykichain,-82.77%,210000000 WICC
494,0.229163,0.055241,376,No Data,wazirx,-43.85%,995833334 WRX
495,32.28,25.97,255,No Data,wbnb,-4.88%,2033881 WBNB
496,0.445895,0.000066,236,No Data,whitecoin,> 9000%,250183629 XWC
497,0.000472,0.000041,181,No Data,wink-tronbet,-78.11%,994855928116 WIN
498,0.064081,0.006504,188,No Data,wirex-token,-66.45%,10000000000 WXT
499,0.131042,0.000705,398,No Data,wixlar,17.49%,5330000000 WIX
500,0.439962,0.040414,327,1000000000 WOM,wom-protocol,336.50%,1000000000 WOM
501,40826.5,3330.12,16,21000000 WBTC,wrapped-bitcoin,293.71%,122281 WBTC
502,41.26,1.07,185,8537500 STAKE,xdai,1497.29%,8287582 STAKE
503,0.461936,0.064415,269,110000000 XNC,xenioscoin,359.24%,100413374 XNC
504,0.123932,0.001663,359,5000000000 XSR,xensor,-82.22%,4800000000 XSR
505,0.019188,0.000157,234,No Data,xinfin-network,107.44%,37620856423 XDC
506,3.84,0.002802,4,100000000000 XRP,xrp,3959.52%,99990862913 XRP
507,183.44,0.022317,546,No Data,yamv1,-99.48%,32575725 YAM
508,9405.23,96.29,133,39375 YFII,yearn-finance-ii,98.61%,39375 YFII
509,43873.82,739.44,45,No Data,yearn-finance,793.87%,30000 YFI
510,3,2.49,436,70000000 YEP,yep-coin,11.68%,10736310 YEP
511,1339.83,108.15,337,21000 YF-DAI,yfdai-finance,1003.17%,21000 YF-DAI
512,1956.97,12.75,339,52000 YFL,yflink,40.82%,52000 YFL
513,83.81,2.14,441,5854898 YFV,yfvalue,-81.88%,4595198 YFV
514,4405.84,2.04,617,80000 SAFE,yieldfarming-insure,-85.18%,80000 SAFE
515,3.61,3.11,251,40000000 YUSRA,yusra,6.15%,40000000 YUSRA
516,1.83,0.001334,416,No Data,zap,-91.16%,520000000 ZAP
517,0.439128,0.106436,77,No Data,zb-token,-7.47%,2100000000 ZB
518,0.130757,0.024647,406,No Data,zbg-token,-59.32%,500000000 ZT
519,5941.8,18.94,33,21000000 ZEC,zcash,-98.77%,10396538 ZEC
520,169.99,0.275101,170,21400000 XZC,zcoin,658.41%,21400000 XZC
521,7.47,0.922364,208,300000000 ZLW,zelwin,437.68%,300000000 ZLW
522,4.76,0.175244,400,No Data,zenon,86.92%,5477498 ZNN
523,0.231489,0.002477,61,21000000000 ZIL,zilliqa,350.10%,13885789388 ZIL
524,5.24,0.235939,321,No Data,zynecoin,-21.80%,100150000 ZYN
,,,,,balancer,,
,,,,,darcio-ecosystem-coin,,
,,,,,envion,,
,,,,,eterbase-utility-token,,
,,,,,huobi-btc,,
